code,date,title,company,host,catch_url,m3u8_url,downloaded,stt,key_word,abstract
4390243,2024-01-17,热点直击 | 中美重要数据大盘点！,汇添富基金,曹杰,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/5157143a3270835015112514867/playlist_eof.m3u8,,,,,
4391069,2024-01-17,要发售了？再谈XR,东证融汇资管,东证融汇助理,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/fd0a1b583270835015145512384/playlist_eof.m3u8,,,,,
4391062,2024-01-17,行情弱势，如何应对？,国金基金,朱萧华,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/a0d272a43270835015147983418/v.f230.m3u8,,,,,
4391033,2024-01-17,价值与量化的完美融合,南华基金,于洋,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/09511e993270835015111757444/playlist_eof.m3u8,,,,,
4390647,2024-01-17,黄金投资如何把握？,中信保诚,Doremi,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/336f0cbd3270835015108580295/playlist_eof.m3u8,,,,,
4390580,2024-01-17,开年畅聊！新能车反转何时能至？,天弘基金,祁世超,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/f902aebd3270835015209706914/playlist_eof.m3u8,,,,,
4390537,2024-01-17,债券市场回顾与盘点,天治基金,黄月镭,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/541842f63270835015112673821/playlist_eof.m3u8,,,,,
4388929,2024-01-17,银河甜心，在线答疑,银河基金,一一,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/7fc6a17a3270835015211804676/playlist_eof.m3u8,,,,,
4390960,2024-01-17,基金哥和他的朋友圈,中信建投基金投顾,基金哥 周周,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/37f5c1363270835015108761440/playlist_eof.m3u8,,,,,
4390658,2024-01-17,财经午餐|市场热点追踪1.17,中信建投基金,李丛杰,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/a7db019a3270835015208573073/playlist_eof.m3u8,,,,,
4390213,2024-01-17,热点有约|90后养老投资锦囊,易方达基金,李俊池|何雨洁,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/7790d6ef3270835015140326035/playlist_eof.m3u8,,,,,
4390335,2024-01-17,盘盘繁花投资经,东海基金,juju,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/13aeb2e13270835015135693096/playlist_eof.m3u8,,,,,
4391030,2024-01-17,量化如何捕捉行业风口?,南华基金,于洋,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/f8407c1b3270835015104244597/playlist_eof.m3u8,,,,,
4390751,2024-01-17,固收三好少年之不惧波动,北信瑞丰基金,靳晓龙马寅喜,https://1500000598.vod2.myqcloud.com/438174e6vodtranscq1500000598/c21015ac3270835015141203091/v.f230.m3u8,,,,,
4390270,2024-01-17,年初养基如何布局？,中信保诚,老司机,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/47491b503270835015105307333/playlist_eof.m3u8,,,,,
4389655,2024-01-17,聊聊近期的芯片板块！,鹏华基金,罗英宇,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/cb4b2bc23270835015134880892/playlist_eof.m3u8,,,,,
4391035,2024-01-17,春节临近黄金能否起飞？,永赢基金,章赟,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/477ff5973270835015105338444/playlist_eof.m3u8,,,,,
4390933,2024-01-17,红利低波，继续拿住！,南方基金,小池|帅帅,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/b7bc8c843270835015205194978/playlist_eof.m3u8,,,,,
4390924,2024-01-17,深证50！跟上证、北证50有什么区别?,富国基金,苏华清 | 七七,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/69acf0193270835015102703975/playlist_eof.m3u8,,,,,
4390920,2024-01-17,2024年资产如何配置？,银华基金,灵灵,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/0ce07b783270835015101079555/playlist_eof.m3u8,,,,,
4390794,2024-01-17,科技巨头争相布局，基金经理深度解读机器人,招商基金,许荣漫|黄亮,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/4e088cdd3270835015139917062/playlist_eof.m3u8,,,,,
4390573,2024-01-17,市场赚钱难度加大，量化投资大展身手？,华夏基金,诗雨,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/60b2c7b53270835015102353943/playlist_eof.m3u8,,,,,
4389940,2024-01-17,跟《繁花》学投资眼光,国投瑞银基金,湘琳|伊宁,https://1500000598.vod2.myqcloud.com/6c97873evodcq1500000598/765af89d3270835015204686138/playlist_eof.m3u8,,,,,
